Country,Length,Measure,Percentage,Coverdby,totalLength
Singapore,16,weeks,100,Employer and Government ,112
Slovakia,28,weeks,55,Social Insurance (part of sickness insurance),196
Slovenia,105,calendar days,100,Social security,105
Solomon Islands,12,weeks,25,Employer,84
Somalia,14,weeks,50,Employer,98
South Africa,4,months,60,Unemployment Insurance Fund,120
Spain,16,weeks,100,Social security,112
Sri Lanka,12,weeks,93,Employer,84
Sudan,8,weeks,100,Employer,56
Swaziland,12,weeks,__,__,84
Sweden,480,days ,80,Social insurance ,480
Switzerland,14,weeks,80,Social insurance,98
Syrian Arab Republic,"120, 90, 75",days,100,Employer,120
Tajikistan,140,calendar days,100,Social security,140
TFYR of Macedonia,9,months,__,Health Insurance Fund,270
Thailand,90,days,100,Employer and Social insurance system,90
Togo,14,weeks,100,"50% Employer, 50% Social security",98
Trinidad and Tobago,13,weeks,"100, 50",Employer and National Insurance Board ,91
Tunisia,"1, 2",month(s),72,National Social Security Fund,60
Turkey,16,weeks,67,Social security,112
Turkmenistan,112,days,100,Social security,112
Uganda,60,working days,100,Employer,84
Ukraine,126,days,100,Social security,126
United Arab Emirates,45,days,75,Employer,45
United Kingdom,52,weeks ,90,Employer (92% refunded by public funds),52
United Republic of Tanzania,12,weeks,100,Employer,84
United States of America,12,weeks,__,__,84
Uruguay,12,weeks,100,Social security system,84
Uzbekistan,126,calendar days,100,State social insurance scheme,126
Vanuatu,12,weeks,66,Employer,84
Venezuela,18,weeks,100,Social security,126
Viet Nam,6.4¿ù,months,100,Social insurance fund,180
Yemen,60,days,100,Employer,60
Zambia,12,weeks,100,Employer,84
Zimbabwe,98,days,100,Employer,98
