39,Saudi Arabia,0.901,4,0.778,0.864,75.7,73.0,16.6,16.1,7.8,9.3,20094,77044,VH
40,Argentina,0.982,1,0.819,0.834,80.1,72.4,19.1,16.8,9.8,9.8,14202,30237,VH
41,United Arab Emirates,0.954,2,0.796,0.835,78.5,76.3,13.9,12.9,9.9,8.5,22391,77300,VH
42,Chile,0.967,2,0.815,0.843,84.5,78.6,15.5,15.0,9.7,9.9,14732,27992,VH
43,Portugal,0.985,1,0.823,0.836,83.8,77.9,16.5,16.1,8.1,8.4,21259,30543,VH
44,Hungary,0.976,1,0.818,0.838,78.7,71.5,15.7,15.1,11.3,12.2,17443,28960,VH
45,Bahrain,0.940,3,0.789,0.839,77.6,75.8,15.1,13.7,9.1,9.6,20038,49890,VH
46,Latvia,1.029,2,0.829,0.805,78.9,69.1,15.9,14.6,11.7,11.2,18437,26845,VH
47,Croatia,0.987,1,0.812,0.823,80.6,74.0,15.4,14.2,10.5,11.6,16200,22853,VH
48,Kuwait,0.972,2,0.793,0.816,75.8,73.5,15.2,14.2,7.3,7.1,42292,111988,VH
49,Montenegro,0.954,2,0.782,0.819,78.4,74.1,15.5,14.8,10.5,11.8,11106,18094,VH
50,Belarus,1.021,1,0.806,0.789,77.2,65.5,16.2,15.1,11.9,12.1,12922,21010,H
50,Russian Federation,1.019,1,0.804,0.789,75.8,64.4,15.1,14.3,11.9,12.0,17269,28287,H
52,Oman,0.909,4,0.741,0.815,79.2,75.1,13.9,13.5,7.0,8.5,14709,46400,H
52,Romania,0.989,1,0.787,0.796,78.3,71.2,14.6,13.8,10.3,11.1,15250,21117,H
52,Uruguay,1.018,1,0.797,0.783,80.6,73.5,16.6,14.4,8.7,8.2,14721,24166,H
55,Bahamas,-1,-1,-1,-1,78.3,72.3,-1,-1,11.1,10.7,17868,24957,H
56,Kazakhstan,1.002,1,0.787,0.785,74.1,64.6,15.4,14.7,11.3,11.5,15408,26746,H
57,Barbados,1.018,1,0.791,0.777,78.0,73.2,17.2,13.8,10.6,10.2,10245,14739,H
58,Antigua and Barbuda,-1,-1,-1,-1,78.5,73.5,14.6,13.3,-1,-1,-1,-1,H
59,Bulgaria,0.991,1,0.777,0.784,77.7,70.8,14.6,14.1,10.6,10.4,12448,18926,H
60,Palau,-1,-1,-1,-1,-1,-1,13.9,13.5,-1,-1,-1,-1,H
60,Panama,0.996,1,0.776,0.779,80.7,74.6,13.8,12.8,9.6,9.1,13699,22597,H
62,Malaysia,0.947,3,0.753,0.795,77.1,72.4,12.7,12.7,9.4,10.1,15635,30320,H
63,Mauritius,0.950,2,0.752,0.792,78.0,70.9,15.9,15.2,8.0,9.1,10541,24581,H
64,Seychelles,-1,-1,-1,-1,78.1,68.9,13.3,13.4,-1,-1,-1,-1,H
64,Trinidad and Tobago,0.985,1,0.763,0.774,74.0,67.0,12.5,12.1,10.7,10.9,19669,32656,H
66,Serbia,0.966,2,0.757,0.784,77.7,72.1,14.9,13.9,9.8,11.2,9697,14799,H
67,Cuba,0.954,2,0.747,0.783,81.5,77.4,14.4,13.3,11.4,11.6,4912,9665,H
67,Lebanon,0.899,5,0.718,0.800,81.3,77.6,13.6,13.9,7.6,8.2,7334,25391,H
69,Costa Rica,0.974,2,0.753,0.774,81.9,77.0,14.3,13.4,8.4,8.3,9680,17033,H
69,Iran (Islamic Republic of),0.858,5,0.689,0.804,76.5,74.3,15.0,15.2,7.7,8.6,4828,25924,H
71,Venezuela (Bolivarian Republic of),1.030,2,0.772,0.749,78.5,70.2,15.3,13.1,9.2,8.6,12458,19840,H
72,Turkey,0.902,4,0.716,0.793,78.5,72.0,14.0,15.1,6.7,8.5,10024,27645,H
73,Sri Lanka,0.948,3,0.730,0.769,78.2,71.5,14.2,13.3,10.7,10.9,5452,14307,H
74,Mexico,0.943,3,0.731,0.775,79.2,74.4,13.2,12.9,8.2,8.8,10233,22252,H
75,Brazil,0.997,1,0.752,0.754,78.3,70.7,15.6,14.8,7.8,7.5,11393,19084,H
76,Georgia,0.962,2,0.736,0.765,78.4,71.2,14.0,13.6,12.0,12.3,4887,9718,H
77,Saint Kitts and Nevis,-1,-1,-1,-1,-1,-1,13.4,12.4,-1,-1,-1,-1,H
78,Azerbaijan,0.942,3,0.721,0.766,74.0,67.7,11.8,12.0,10.5,11.2,10120,22814,H
79,Grenada,-1,-1,-1,-1,75.9,71.0,16.3,15.3,-1,-1,-1,-1,H
80,Jordan,0.860,5,0.674,0.784,75.8,72.4,13.7,13.3,9.3,10.5,3587,18831,H
81,The former Yugoslav Republic of Macedonia,0.949,3,0.726,0.765,77.7,73.1,13.5,13.2,8.7,9.8,8796,14754,H
81,Ukraine,1.003,1,0.747,0.745,75.9,66.0,15.4,14.9,11.3,11.4,6518,10120,H
83,Algeria,0.837,5,0.637,0.761,77.2,72.5,14.2,13.8,4.8,7.8,3898,22009,H
84,Peru,0.947,3,0.712,0.752,77.2,71.9,13.1,13.0,8.5,9.6,8040,13977,H
85,Albania,0.948,3,0.711,0.750,80.4,75.4,11.9,11.8,8.9,9.6,7217,12655,H
85,Armenia,1.008,1,0.734,0.728,78.6,70.9,13.6,11.2,10.8,10.9,6042,10089,H
85,Bosnia and Herzegovina,-1,-1,-1,-1,79.0,74.0,-1,-1,6.6,8.6,6514,12912,H
88,Ecuador,0.980,1,0.722,0.737,78.7,73.2,14.5,13.9,7.4,7.6,8487,12723,H
89,Saint Lucia,0.991,1,0.725,0.731,77.8,72.4,13.0,12.1,9.4,9.3,8018,11576,H
90,China,0.943,3,0.705,0.747,77.3,74.3,13.2,12.9,6.9,8.2,10128,14795,H
90,Fiji,0.941,3,0.699,0.743,73.2,67.2,16.0,15.5,9.8,10.0,4274,10592,H
90,Mongolia,1.028,2,0.737,0.716,73.9,65.3,15.3,13.9,9.5,9.0,9029,12462,H
93,Thailand,1.000,1,0.726,0.726,77.9,71.1,13.9,13.1,7.1,7.5,11820,14888,H
94,Dominica,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,H
94,Libya,0.950,2,0.699,0.736,74.6,68.9,14.3,13.8,7.7,7.0,7427,22392,H
96,Tunisia,0.894,5,0.671,0.751,77.3,72.5,15.0,14.0,5.9,7.8,4748,16159,H
97,Colombia,0.997,1,0.719,0.721,77.7,70.5,13.9,13.2,7.4,7.3,9785,14372,H
97,Saint Vincent and the Grenadines,-1,-1,-1,-1,75.1,70.9,13.4,13.1,-1,-1,7283,12541,H
99,Jamaica,0.995,1,0.715,0.719,78.1,73.3,13.1,11.6,10.0,9.4,5820,9059,H
100,Tonga,0.967,2,0.704,0.727,75.8,69.9,15.0,14.4,10.7,10.8,3796,6336,H
101,Belize,0.958,2,0.696,0.727,72.9,67.4,13.9,13.2,10.5,10.5,5034,10198,H
101,Dominican Republic,0.995,1,0.710,0.713,76.7,70.4,13.6,12.6,7.7,7.2,8860,14903,H
103,Suriname,0.975,1,0.702,0.720,74.4,68.0,13.6,11.8,7.3,8.0,10241,20970,H
104,Maldives,0.937,3,0.678,0.723,77.8,75.8,12.8,12.5,5.7,6.0,8531,16073,H
105,Samoa,0.956,2,0.681,0.713,76.8,70.4,13.2,12.5,10.3,10.3,3416,7124,H
106,Botswana,0.982,1,0.691,0.704,66.8,62.1,12.6,12.4,8.7,9.1,15179,18096,M
107,Moldova (Republic of),1.003,1,0.694,0.692,75.7,67.4,12.2,11.6,11.1,11.3,4599,5915,M
108,Egypt,0.868,5,0.633,0.729,73.4,69.0,13.3,13.8,5.4,7.7,4928,16049,M
109,Turkmenistan,-1,-1,-1,-1,69.9,61.5,10.6,11.0,-1,-1,8725,17552,M
110,Gabon,-1,-1,-1,-1,65.0,63.8,-1,-1,8.9,6.6,13527,19177,M
110,Indonesia,0.927,3,0.655,0.706,71.0,66.9,13.1,12.9,7.0,8.2,6485,13052,M
112,Paraguay,0.956,2,0.662,0.692,75.1,70.8,12.2,11.7,7.5,7.9,5576,9678,M
113,"Palestine, State of",0.860,5,0.607,0.706,74.9,71.0,13.8,12.2,8.4,9.3,1580,7726,M
114,Uzbekistan,0.945,3,0.640,0.678,71.8,65.0,11.3,11.7,9.5,9.9,3811,7342,M
115,Philippines,0.977,1,0.649,0.664,71.8,64.9,11.5,11.1,8.4,7.9,5382,10439,M
116,El Salvador,0.965,2,0.652,0.676,77.4,68.3,12.1,12.4,6.2,6.9,5497,9406,M
116,South Africa,0.948,3,0.646,0.681,59.3,55.2,13.7,13.4,9.7,10.2,8713,15737,M
116,Viet Nam,-1,-1,-1,-1,80.5,71.0,-1,-1,7.0,7.9,4624,5570,M
119,Bolivia (Plurinational State of),0.931,3,0.637,0.684,70.9,65.9,12.9,13.4,7.5,8.9,4383,7140,M
120,Kyrgyzstan,0.961,2,0.638,0.664,74.6,66.6,12.7,12.3,10.5,10.6,2122,3992,M
121,Iraq,0.787,5,0.561,0.712,71.7,67.2,8.7,11.4,5.1,7.7,4279,23515,M
122,Cabo Verde,-1,-1,-1,-1,75.0,71.4,13.9,13.1,-1,-1,4098,8105,M
123,Micronesia (Federated States of),-1,-1,-1,-1,70.1,68.1,-1,-1,-1,-1,-1,-1,M
124,Guyana,0.984,1,0.626,0.636,68.8,64.2,11.2,9.4,8.9,8.0,4164,8804,M
125,Nicaragua,0.960,2,0.615,0.640,77.9,71.9,11.8,11.3,6.2,5.8,2967,5979,M
126,Morocco,0.828,5,0.555,0.670,75.1,73.0,10.6,11.6,3.2,5.3,3222,10573,M
126,Namibia,0.981,1,0.620,0.632,67.3,62.1,11.4,11.3,6.3,6.1,7672,11267,M
128,Guatemala,0.949,3,0.608,0.641,75.3,68.3,10.2,11.0,5.5,5.7,5021,8934,M
129,Tajikistan,0.926,3,0.600,0.648,73.2,66.2,10.5,12.0,9.6,11.2,2014,3017,M
130,India,0.795,5,0.525,0.660,69.5,66.6,11.3,11.8,3.6,7.2,2116,8656,M
131,Honduras,0.944,3,0.583,0.618,75.7,70.7,11.6,10.6,5.5,5.4,2365,5508,M
132,Bhutan,0.897,5,0.572,0.638,69.7,69.2,12.8,12.6,2.0,4.1,5733,8418,M
133,Timor-Leste,0.868,5,0.548,0.631,70.1,66.5,11.3,12.0,3.6,5.3,3122,7530,M
134,Syrian Arab Republic,0.834,5,0.520,0.623,76.5,64.0,12.2,12.3,5.4,7.4,864,4523,M
134,Vanuatu,0.903,4,0.587,0.650,74.0,69.9,10.2,10.9,8.0,10.0,2141,3445,M
136,Congo,0.922,4,0.561,0.609,63.9,60.8,10.9,11.3,4.9,6.5,5165,6859,M
137,Kiribati,-1,-1,-1,-1,69.2,62.8,12.7,11.9,-1,-1,-1,-1,M
138,Equatorial Guinea,-1,-1,-1,-1,59.0,56.3,-1,-1,4.0,7.2,17073,24850,M
139,Zambia,0.917,4,0.558,0.609,62.0,58.2,13.0,13.9,5.8,7.3,3019,4452,M
140,Ghana,0.885,5,0.540,0.610,62.3,60.4,11.0,12.0,5.6,7.9,3200,4515,M
141,Lao People's Democratic Republic,0.896,5,0.543,0.606,67.5,64.8,10.1,11.0,3.9,6.1,4086,5279,M
142,Bangladesh,0.917,4,0.541,0.590,72.9,70.4,10.3,9.7,4.5,5.5,2278,4083,M
143,Cambodia,0.890,5,0.519,0.584,70.3,66.2,10.3,11.5,3.2,5.4,2526,3393,M
143,Sao Tome and Principe,0.891,5,0.520,0.584,68.4,64.4,11.4,11.2,4.0,5.5,1886,3976,L
145,Kenya,0.913,4,0.527,0.577,63.4,59.9,10.7,11.3,5.9,7.3,2255,3270,L
145,Nepal,0.908,4,0.521,0.574,71.1,68.2,12.5,12.2,2.3,4.5,1956,2690,L
147,Pakistan,0.726,5,0.436,0.601,67.2,65.3,7.0,8.5,3.1,6.2,1450,8100,L
148,Myanmar,-1,-1,-1,-1,68.0,63.9,-1,-1,4.3,3.8,3873,5386,L
149,Angola,-1,-1,-1,-1,53.8,50.8,8.7,14.0,-1,-1,5497,8169,L
150,Swaziland,0.879,5,0.494,0.561,48.2,49.6,10.9,11.8,7.4,6.8,3894,7235,L
151,Tanzania (United Republic of),0.938,3,0.504,0.538,66.4,63.5,9.0,9.3,4.5,5.8,2320,2502,L
152,Nigeria,0.841,5,0.468,0.556,53.1,52.4,8.2,9.8,4.9,7.1,4052,6585,L
153,Cameroon,0.879,5,0.478,0.544,56.7,54.4,9.5,11.2,5.3,6.7,2266,3341,L
154,Madagascar,0.945,3,0.497,0.526,66.6,63.6,10.2,10.5,6.6,6.1,1098,1560,L
155,Zimbabwe,0.922,4,0.487,0.529,58.9,56.2,10.7,11.0,6.7,7.7,1387,1850,L
156,Mauritania,0.816,5,0.446,0.546,64.5,61.6,8.5,8.5,2.7,4.8,1625,5468,L
156,Solomon Islands,-1,-1,-1,-1,69.4,66.5,8.8,9.7,-1,-1,1046,2019,L
158,Papua New Guinea,-1,-1,-1,-1,64.8,60.5,-1,-1,3.2,4.8,2145,2768,L
159,Comoros,0.813,5,0.443,0.545,65.0,61.6,11.0,11.9,3.7,5.6,778,2123,L
160,Yemen,0.739,5,0.414,0.560,65.2,62.5,7.7,10.6,1.3,3.8,1595,5412,L
161,Lesotho,0.953,2,0.482,0.505,49.8,49.6,11.7,10.6,6.5,5.2,2613,4017,L
162,Togo,0.831,5,0.439,0.527,60.4,58.9,10.9,13.4,3.0,6.3,1084,1376,L
163,Haiti,-1,-1,-1,-1,64.9,60.7,-1,-1,4.2,5.6,1379,1966,L
163,Rwanda,0.957,2,0.472,0.493,67.0,61.1,10.4,10.2,3.2,4.3,1312,1612,L
163,Uganda,0.886,5,0.452,0.510,60.3,56.7,9.7,9.9,4.5,6.3,1226,1997,L
166,Benin,0.823,5,0.431,0.524,61.0,58.1,9.4,12.7,2.1,4.6,1493,2043,L
167,Sudan,0.830,5,0.428,0.516,65.0,62.0,6.7,7.3,2.5,3.8,1882,5722,L
168,Djibouti,-1,-1,-1,-1,63.7,60.4,5.9,6.9,-1,-1,2019,4522,L
169,South Sudan,-1,-1,-1,-1,56.7,54.7,-1,-1,4.5,5.8,-1,-1,L
170,Senegal,0.883,5,0.436,0.494,68.3,64.5,7.8,8.1,1.8,3.2,1657,2739,L
171,Afghanistan,0.600,5,0.328,0.546,61.6,59.2,7.2,11.3,1.2,5.1,506,3227,L
172,C_te d'Ivoire,0.810,5,0.410,0.507,52.4,50.7,7.9,10.0,3.2,5.3,2146,4157,L
173,Malawi,0.907,4,0.423,0.467,63.7,61.7,10.8,10.7,3.4,5.2,679,815,L
174,Ethiopia,0.840,5,0.403,0.479,66.0,62.2,8.0,9.0,1.4,3.6,1090,1765,L
175,Gambia,0.889,5,0.414,0.466,61.6,58.9,8.7,8.9,2.0,3.7,1267,1753,L
176,Congo (Democratic Republic of the),0.833,5,0.393,0.472,60.1,57.2,8.6,10.8,4.5,7.7,597,765,L
177,Liberia,0.789,5,0.387,0.491,61.8,59.9,8.9,12.4,2.6,5.8,678,930,L
178,Guinea-Bissau,-1,-1,-1,-1,57.0,53.4,-1,-1,-1,-1,1135,1593,L
179,Mali,0.776,5,0.363,0.468,57.8,58.2,7.5,9.3,1.5,2.7,961,2195,L
180,Mozambique,0.881,5,0.390,0.443,56.5,53.6,8.8,9.8,2.4,4.3,1040,1210,L
181,Sierra Leone,0.814,5,0.370,0.454,51.4,50.4,7.2,10.0,2.2,4.0,1582,1981,L
182,Guinea,0.778,5,0.358,0.460,59.2,58.3,7.3,10.0,1.4,3.7,877,1314,L
183,Burkina Faso,0.881,5,0.376,0.427,59.9,57.3,7.4,8.1,1.0,1.9,1325,1859,L
184,Burundi,0.911,4,0.381,0.418,58.7,54.8,9.6,10.7,2.2,3.1,693,825,L
185,Chad,0.768,5,0.338,0.440,52.7,50.5,5.9,8.9,1.0,2.9,1657,2513,L
186,Eritrea,-1,-1,-1,-1,65.9,61.6,-1,-1,-1,-1,971,1290,L
187,Central African Republic,0.773,5,0.303,0.392,52.6,48.8,5.9,8.6,2.8,5.7,476,689,L
188,Niger,0.729,5,0.287,0.394,62.4,60.6,4.8,6.1,0.8,2.0,491,1319,L
