"Reference Area","Time Period","Sex","Age group","Unit of measurement","Nature","Value"
"World (SDG-MDG)","2011","Female","25+","Percent","Modeled","4.96"
"World (SDG-MDG)","2011","Male","15 - 24","Percent","Modeled","12.66"
"World (SDG-MDG)","2011","Male","15+","Percent","Modeled","5.7"
"World (SDG-MDG)","2011","Male","25+","Percent","Modeled","4.22"
"World (SDG-MDG)","2011","Total","15 - 24","Percent","Modeled","13.07"
"World (SDG-MDG)","2011","Total","15+","Percent","Modeled","6.02"
"World (SDG-MDG)","2011","Total","25+","Percent","Modeled","4.51"
"World (SDG-MDG)","2010","Female","15 - 24","Percent","Modeled","13.56"
"World (SDG-MDG)","2010","Female","15+","Percent","Modeled","6.55"
"World (SDG-MDG)","2010","Female","25+","Percent","Modeled","5"
"World (SDG-MDG)","2010","Male","15 - 24","Percent","Modeled","12.57"
"World (SDG-MDG)","2010","Male","15+","Percent","Modeled","5.77"
"World (SDG-MDG)","2010","Male","25+","Percent","Modeled","4.28"
"World (SDG-MDG)","2010","Total","15 - 24","Percent","Modeled","12.96"
"World (SDG-MDG)","2010","Total","15+","Percent","Modeled","6.08"
"World (SDG-MDG)","2010","Total","25+","Percent","Modeled","4.57"
"World (SDG-MDG)","2009","Female","15 - 24","Percent","Modeled","13.45"
"World (SDG-MDG)","2009","Female","15+","Percent","Modeled","6.5"
"World (SDG-MDG)","2009","Female","25+","Percent","Modeled","4.91"
"World (SDG-MDG)","2009","Male","15 - 24","Percent","Modeled","12.73"
"World (SDG-MDG)","2009","Male","15+","Percent","Modeled","6.03"
"World (SDG-MDG)","2009","Male","25+","Percent","Modeled","4.51"
"World (SDG-MDG)","2009","Total","15 - 24","Percent","Modeled","13.01"
"World (SDG-MDG)","2009","Total","15+","Percent","Modeled","6.22"
"World (SDG-MDG)","2009","Total","25+","Percent","Modeled","4.67"
"World (SDG-MDG)","2008","Female","15 - 24","Percent","Modeled","12.85"
"World (SDG-MDG)","2008","Female","15+","Percent","Modeled","6.04"
"World (SDG-MDG)","2008","Female","25+","Percent","Modeled","4.44"
"World (SDG-MDG)","2008","Male","15 - 24","Percent","Modeled","12"
"World (SDG-MDG)","2008","Male","15+","Percent","Modeled","5.44"
"World (SDG-MDG)","2008","Male","25+","Percent","Modeled","3.91"
"World (SDG-MDG)","2008","Total","15 - 24","Percent","Modeled","12.34"
"World (SDG-MDG)","2008","Total","15+","Percent","Modeled","5.68"
"World (SDG-MDG)","2008","Total","25+","Percent","Modeled","4.12"
"World (SDG-MDG)","2007","Female","15 - 24","Percent","Modeled","12.51"
"World (SDG-MDG)","2007","Female","15+","Percent","Modeled","5.94"
"World (SDG-MDG)","2007","Female","25+","Percent","Modeled","4.36"
"World (SDG-MDG)","2007","Male","15 - 24","Percent","Modeled","11.62"
"World (SDG-MDG)","2007","Male","15+","Percent","Modeled","5.26"
"World (SDG-MDG)","2007","Male","25+","Percent","Modeled","3.76"
"World (SDG-MDG)","2007","Total","15 - 24","Percent","Modeled","11.98"
"World (SDG-MDG)","2007","Total","15+","Percent","Modeled","5.54"
"World (SDG-MDG)","2007","Total","25+","Percent","Modeled","4"
"World (SDG-MDG)","2006","Female","15 - 24","Percent","Modeled","13.47"
"World (SDG-MDG)","2006","Female","15+","Percent","Modeled","6.44"
"World (SDG-MDG)","2006","Female","25+","Percent","Modeled","4.71"
"World (SDG-MDG)","2006","Male","15 - 24","Percent","Modeled","12.35"
"World (SDG-MDG)","2006","Male","15+","Percent","Modeled","5.61"
"World (SDG-MDG)","2006","Male","25+","Percent","Modeled","3.97"
"World (SDG-MDG)","2006","Total","15 - 24","Percent","Modeled","12.8"
"World (SDG-MDG)","2006","Total","15+","Percent","Modeled","5.94"
"World (SDG-MDG)","2006","Total","25+","Percent","Modeled","4.27"
"World (SDG-MDG)","2005","Female","15 - 24","Percent","Modeled","14.01"
"World (SDG-MDG)","2005","Female","15+","Percent","Modeled","6.76"
"World (SDG-MDG)","2005","Female","25+","Percent","Modeled","4.94"
"World (SDG-MDG)","2005","Male","15 - 24","Percent","Modeled","12.68"
"World (SDG-MDG)","2005","Male","15+","Percent","Modeled","5.86"
"World (SDG-MDG)","2005","Male","25+","Percent","Modeled","4.18"
"World (SDG-MDG)","2005","Total","15 - 24","Percent","Modeled","13.22"
"World (SDG-MDG)","2005","Total","15+","Percent","Modeled","6.22"
"World (SDG-MDG)","2005","Total","25+","Percent","Modeled","4.49"
"World (SDG-MDG)","2004","Female","15 - 24","Percent","Modeled","13.88"
"World (SDG-MDG)","2004","Female","15+","Percent","Modeled","6.85"
"World (SDG-MDG)","2004","Female","25+","Percent","Modeled","5.06"
"World (SDG-MDG)","2004","Male","15 - 24","Percent","Modeled","12.77"
"World (SDG-MDG)","2004","Male","15+","Percent","Modeled","6.05"
"World (SDG-MDG)","2004","Male","25+","Percent","Modeled","4.38"
"World (SDG-MDG)","2004","Total","15 - 24","Percent","Modeled","13.22"
"World (SDG-MDG)","2004","Total","15+","Percent","Modeled","6.37"
"World (SDG-MDG)","2004","Total","25+","Percent","Modeled","4.65"
"World (SDG-MDG)","2003","Female","15 - 24","Percent","Modeled","13.97"
"World (SDG-MDG)","2003","Female","15+","Percent","Modeled","6.98"
"World (SDG-MDG)","2003","Female","25+","Percent","Modeled","5.19"
"World (SDG-MDG)","2003","Male","15 - 24","Percent","Modeled","13.07"
"World (SDG-MDG)","2003","Male","15+","Percent","Modeled","6.22"
"World (SDG-MDG)","2003","Male","25+","Percent","Modeled","4.51"
"World (SDG-MDG)","2003","Total","15 - 24","Percent","Modeled","13.43"
"World (SDG-MDG)","2003","Total","15+","Percent","Modeled","6.52"
"World (SDG-MDG)","2003","Total","25+","Percent","Modeled","4.78"
"World (SDG-MDG)","2002","Female","15 - 24","Percent","Modeled","13.94"
"World (SDG-MDG)","2002","Female","15+","Percent","Modeled","6.95"
"World (SDG-MDG)","2002","Female","25+","Percent","Modeled","5.14"
"World (SDG-MDG)","2002","Male","15 - 24","Percent","Modeled","13.11"
"World (SDG-MDG)","2002","Male","15+","Percent","Modeled","6.26"
"World (SDG-MDG)","2002","Male","25+","Percent","Modeled","4.54"
"World (SDG-MDG)","2002","Total","15 - 24","Percent","Modeled","13.45"
"World (SDG-MDG)","2002","Total","15+","Percent","Modeled","6.54"
"World (SDG-MDG)","2002","Total","25+","Percent","Modeled","4.78"
"World (SDG-MDG)","2001","Female","15 - 24","Percent","Modeled","13.56"
"World (SDG-MDG)","2001","Female","15+","Percent","Modeled","6.82"
"World (SDG-MDG)","2001","Female","25+","Percent","Modeled","5.06"
"World (SDG-MDG)","2001","Male","15 - 24","Percent","Modeled","12.58"
"World (SDG-MDG)","2001","Male","15+","Percent","Modeled","6.03"
"World (SDG-MDG)","2001","Male","25+","Percent","Modeled","4.36"
"World (SDG-MDG)","2001","Total","15 - 24","Percent","Modeled","12.98"
"World (SDG-MDG)","2001","Total","15+","Percent","Modeled","6.35"
"World (SDG-MDG)","2001","Total","25+","Percent","Modeled","4.64"
"World (SDG-MDG)","2000","Female","15 - 24","Percent","Modeled","13.46"
"World (SDG-MDG)","2000","Female","15+","Percent","Modeled","6.79"
"World (SDG-MDG)","2000","Female","25+","Percent","Modeled","5.02"
"World (SDG-MDG)","2000","Male","15 - 24","Percent","Modeled","12.77"
"World (SDG-MDG)","2000","Male","15+","Percent","Modeled","6.13"
"World (SDG-MDG)","2000","Male","25+","Percent","Modeled","4.42"
"World (SDG-MDG)","2000","Total","15 - 24","Percent","Modeled","13.05"
"World (SDG-MDG)","2000","Total","15+","Percent","Modeled","6.39"
"World (SDG-MDG)","2000","Total","25+","Percent","Modeled","4.66"
"Asia (M49)","2016","Female","15 - 24","Percent","Modeled","10.93"
"Asia (M49)","2016","Female","15+","Percent","Modeled","4.43"
"Asia (M49)","2016","Female","25+","Percent","Modeled","3.33"
"Asia (M49)","2016","Male","15 - 24","Percent","Modeled","11.87"
"Asia (M49)","2016","Male","15+","Percent","Modeled","4.61"
"Asia (M49)","2016","Male","25+","Percent","Modeled","3.34"
"Asia (M49)","2016","Total","15 - 24","Percent","Modeled","11.53"
"Asia (M49)","2016","Total","15+","Percent","Modeled","4.54"
"Asia (M49)","2016","Total","25+","Percent","Modeled","3.34"
"Asia (M49)","2015","Female","15 - 24","Percent","Modeled","10.95"
"Asia (M49)","2015","Female","15+","Percent","Modeled","4.47"
"Asia (M49)","2015","Female","25+","Percent","Modeled","3.33"
"Asia (M49)","2015","Male","15 - 24","Percent","Modeled","11.99"
"Asia (M49)","2015","Male","15+","Percent","Modeled","4.63"
"Asia (M49)","2015","Male","25+","Percent","Modeled","3.31"
"Asia (M49)","2015","Total","15 - 24","Percent","Modeled","11.61"
"Asia (M49)","2015","Total","15+","Percent","Modeled","4.57"
"Asia (M49)","2015","Total","25+","Percent","Modeled","3.32"
"Asia (M49)","2014","Female","15 - 24","Percent","Modeled","10.79"
"Asia (M49)","2014","Female","15+","Percent","Modeled","4.47"
"Asia (M49)","2014","Female","25+","Percent","Modeled","3.31"
"Asia (M49)","2014","Male","15 - 24","Percent","Modeled","11.99"
"Asia (M49)","2014","Male","15+","Percent","Modeled","4.63"
"Asia (M49)","2014","Male","25+","Percent","Modeled","3.26"
"Asia (M49)","2014","Total","15 - 24","Percent","Modeled","11.56"
"Asia (M49)","2014","Total","15+","Percent","Modeled","4.57"
"Asia (M49)","2014","Total","25+","Percent","Modeled","3.28"
"Asia (M49)","2013","Female","15 - 24","Percent","Modeled","11.66"
"Asia (M49)","2013","Female","15+","Percent","Modeled","4.61"
"Asia (M49)","2013","Female","25+","Percent","Modeled","3.26"
"Asia (M49)","2013","Male","15 - 24","Percent","Modeled","11.97"
"Asia (M49)","2013","Male","15+","Percent","Modeled","4.59"
"Asia (M49)","2013","Male","25+","Percent","Modeled","3.17"
"Asia (M49)","2013","Total","15 - 24","Percent","Modeled","11.86"
"Asia (M49)","2013","Total","15+","Percent","Modeled","4.6"
"Asia (M49)","2013","Total","25+","Percent","Modeled","3.2"
"Asia (M49)","2012","Female","15 - 24","Percent","Modeled","11.3"
"Asia (M49)","2012","Female","15+","Percent","Modeled","4.58"
"Asia (M49)","2012","Female","25+","Percent","Modeled","3.22"
"Asia (M49)","2012","Male","15 - 24","Percent","Modeled","11.69"
"Asia (M49)","2012","Male","15+","Percent","Modeled","4.59"
"Asia (M49)","2012","Male","25+","Percent","Modeled","3.16"
"Asia (M49)","2012","Total","15 - 24","Percent","Modeled","11.54"
"Asia (M49)","2012","Total","15+","Percent","Modeled","4.58"
"Asia (M49)","2012","Total","25+","Percent","Modeled","3.18"
"Asia (M49)","2011","Female","15 - 24","Percent","Modeled","11.34"
"Asia (M49)","2011","Female","15+","Percent","Modeled","4.69"
"Asia (M49)","2011","Female","25+","Percent","Modeled","3.28"
"Asia (M49)","2011","Male","15 - 24","Percent","Modeled","11.6"
"Asia (M49)","2011","Male","15+","Percent","Modeled","4.59"
"Asia (M49)","2011","Male","25+","Percent","Modeled","3.12"
"Asia (M49)","2011","Total","15 - 24","Percent","Modeled","11.51"
"Asia (M49)","2011","Total","15+","Percent","Modeled","4.62"
"Asia (M49)","2011","Total","25+","Percent","Modeled","3.18"
"Asia (M49)","2010","Female","15 - 24","Percent","Modeled","11.03"
"Asia (M49)","2010","Female","15+","Percent","Modeled","4.7"
"Asia (M49)","2010","Female","25+","Percent","Modeled","3.32"
"Asia (M49)","2010","Male","15 - 24","Percent","Modeled","11.32"
"Asia (M49)","2010","Male","15+","Percent","Modeled","4.57"
"Asia (M49)","2010","Male","25+","Percent","Modeled","3.12"
"Asia (M49)","2010","Total","15 - 24","Percent","Modeled","11.21"
"Asia (M49)","2010","Total","15+","Percent","Modeled","4.62"
"Asia (M49)","2010","Total","25+","Percent","Modeled","3.19"
"Asia (M49)","2009","Female","15 - 24","Percent","Modeled","10.76"
"Asia (M49)","2009","Female","15+","Percent","Modeled","4.6"
"Asia (M49)","2009","Female","25+","Percent","Modeled","3.2"
"Asia (M49)","2009","Male","15 - 24","Percent","Modeled","11.46"
"Asia (M49)","2009","Male","15+","Percent","Modeled","4.92"
"Asia (M49)","2009","Male","25+","Percent","Modeled","3.45"
"Asia (M49)","2009","Total","15 - 24","Percent","Modeled","11.2"
"Asia (M49)","2009","Total","15+","Percent","Modeled","4.8"
"Asia (M49)","2009","Total","25+","Percent","Modeled","3.36"
"Asia (M49)","2008","Female","15 - 24","Percent","Modeled","10.78"
"Asia (M49)","2008","Female","15+","Percent","Modeled","4.55"
"Asia (M49)","2008","Female","25+","Percent","Modeled","3.09"
"Asia (M49)","2008","Male","15 - 24","Percent","Modeled","11.29"
"Asia (M49)","2008","Male","15+","Percent","Modeled","4.8"
"Asia (M49)","2008","Male","25+","Percent","Modeled","3.29"
"Asia (M49)","2008","Total","15 - 24","Percent","Modeled","11.1"
"Asia (M49)","2008","Total","15+","Percent","Modeled","4.71"
"Asia (M49)","2008","Total","25+","Percent","Modeled","3.22"
"Asia (M49)","2007","Female","15 - 24","Percent","Modeled","10.04"
"Asia (M49)","2007","Female","15+","Percent","Modeled","4.32"
"Asia (M49)","2007","Female","25+","Percent","Modeled","2.93"
"Asia (M49)","2007","Male","15 - 24","Percent","Modeled","10.63"
"Asia (M49)","2007","Male","15+","Percent","Modeled","4.51"
"Asia (M49)","2007","Male","25+","Percent","Modeled","3.05"
"Asia (M49)","2007","Total","15 - 24","Percent","Modeled","10.4"
"Asia (M49)","2007","Total","15+","Percent","Modeled","4.44"
"Asia (M49)","2007","Total","25+","Percent","Modeled","3.01"
"Asia (M49)","2006","Female","15 - 24","Percent","Modeled","11.14"
"Asia (M49)","2006","Female","15+","Percent","Modeled","4.82"
"Asia (M49)","2006","Female","25+","Percent","Modeled","3.25"
"Asia (M49)","2006","Male","15 - 24","Percent","Modeled","11.45"
"Asia (M49)","2006","Male","15+","Percent","Modeled","4.84"
"Asia (M49)","2006","Male","25+","Percent","Modeled","3.23"
"Asia (M49)","2006","Total","15 - 24","Percent","Modeled","11.34"
"Asia (M49)","2006","Total","15+","Percent","Modeled","4.84"
"Asia (M49)","2006","Total","25+","Percent","Modeled","3.24"
"Asia (M49)","2005","Female","15 - 24","Percent","Modeled","11.67"
"Asia (M49)","2005","Female","15+","Percent","Modeled","5.08"
"Asia (M49)","2005","Female","25+","Percent","Modeled","3.4"
"Asia (M49)","2005","Male","15 - 24","Percent","Modeled","11.7"
"Asia (M49)","2005","Male","15+","Percent","Modeled","5.03"
"Asia (M49)","2005","Male","25+","Percent","Modeled","3.37"
"Asia (M49)","2005","Total","15 - 24","Percent","Modeled","11.69"
"Asia (M49)","2005","Total","15+","Percent","Modeled","5.05"
"Asia (M49)","2005","Total","25+","Percent","Modeled","3.38"
"Asia (M49)","2004","Female","15 - 24","Percent","Modeled","11.15"
"Asia (M49)","2004","Female","15+","Percent","Modeled","4.91"
"Asia (M49)","2004","Female","25+","Percent","Modeled","3.3"
"Asia (M49)","2004","Male","15 - 24","Percent","Modeled","11.58"
"Asia (M49)","2004","Male","15+","Percent","Modeled","5.07"
"Asia (M49)","2004","Male","25+","Percent","Modeled","3.44"
"Asia (M49)","2004","Total","15 - 24","Percent","Modeled","11.41"
"Asia (M49)","2004","Total","15+","Percent","Modeled","5.01"
"Asia (M49)","2004","Total","25+","Percent","Modeled","3.39"
"Asia (M49)","2003","Female","15 - 24","Percent","Modeled","11.05"
"Asia (M49)","2003","Female","15+","Percent","Modeled","4.97"
"Asia (M49)","2003","Female","25+","Percent","Modeled","3.38"
"Asia (M49)","2003","Male","15 - 24","Percent","Modeled","11.67"
"Asia (M49)","2003","Male","15+","Percent","Modeled","5.12"
"Asia (M49)","2003","Male","25+","Percent","Modeled","3.47"
"Asia (M49)","2003","Total","15 - 24","Percent","Modeled","11.43"
"Asia (M49)","2003","Total","15+","Percent","Modeled","5.06"
"Asia (M49)","2003","Total","25+","Percent","Modeled","3.44"
"Asia (M49)","2002","Female","15 - 24","Percent","Modeled","11.31"
"Asia (M49)","2002","Female","15+","Percent","Modeled","4.93"
"Asia (M49)","2002","Female","25+","Percent","Modeled","3.24"
"Asia (M49)","2002","Male","15 - 24","Percent","Modeled","11.98"
"Asia (M49)","2002","Male","15+","Percent","Modeled","5.2"
"Asia (M49)","2002","Male","25+","Percent","Modeled","3.48"
"Asia (M49)","2002","Total","15 - 24","Percent","Modeled","11.72"
"Asia (M49)","2002","Total","15+","Percent","Modeled","5.09"
"Asia (M49)","2002","Total","25+","Percent","Modeled","3.39"
"Asia (M49)","2001","Female","15 - 24","Percent","Modeled","10.88"
"Asia (M49)","2001","Female","15+","Percent","Modeled","4.83"
"Asia (M49)","2001","Female","25+","Percent","Modeled","3.22"
"Asia (M49)","2001","Male","15 - 24","Percent","Modeled","11.33"
"Asia (M49)","2001","Male","15+","Percent","Modeled","4.98"
"Asia (M49)","2001","Male","25+","Percent","Modeled","3.34"
"Asia (M49)","2001","Total","15 - 24","Percent","Modeled","11.16"
"Asia (M49)","2001","Total","15+","Percent","Modeled","4.92"
"Asia (M49)","2001","Total","25+","Percent","Modeled","3.3"
"Asia (M49)","2000","Female","15 - 24","Percent","Modeled","10.43"
"Asia (M49)","2000","Female","15+","Percent","Modeled","4.58"
"Asia (M49)","2000","Female","25+","Percent","Modeled","2.98"
"Asia (M49)","2000","Male","15 - 24","Percent","Modeled","11.36"
"Asia (M49)","2000","Male","15+","Percent","Modeled","4.99"
"Asia (M49)","2000","Male","25+","Percent","Modeled","3.34"
"Asia (M49)","2000","Total","15 - 24","Percent","Modeled","11"
"Asia (M49)","2000","Total","15+","Percent","Modeled","4.83"
"Asia (M49)","2000","Total","25+","Percent","Modeled","3.2"
"Australia and New Zealand (SDG)","2016","Female","15 - 24","Percent","Modeled","11.75"
"Australia and New Zealand (SDG)","2016","Female","15+","Percent","Modeled","5.77"
"Australia and New Zealand (SDG)","2016","Female","25+","Percent","Modeled","4.55"
"Australia and New Zealand (SDG)","2016","Male","15 - 24","Percent","Modeled","13.5"
"Australia and New Zealand (SDG)","2016","Male","15+","Percent","Modeled","5.57"
"Australia and New Zealand (SDG)","2016","Male","25+","Percent","Modeled","4.09"
"Australia and New Zealand (SDG)","2016","Total","15 - 24","Percent","Modeled","12.67"
"Australia and New Zealand (SDG)","2016","Total","15+","Percent","Modeled","5.66"
"Australia and New Zealand (SDG)","2016","Total","25+","Percent","Modeled","4.3"
"Australia and New Zealand (SDG)","2015","Female","15 - 24","Percent","Modeled","12.21"
"Australia and New Zealand (SDG)","2015","Female","15+","Percent","Modeled","6.04"
"Australia and New Zealand (SDG)","2015","Female","25+","Percent","Modeled","4.77"
"Australia and New Zealand (SDG)","2015","Male","15 - 24","Percent","Modeled","14.21"
"Australia and New Zealand (SDG)","2015","Male","15+","Percent","Modeled","5.87"
"Australia and New Zealand (SDG)","2015","Male","25+","Percent","Modeled","4.29"
"Australia and New Zealand (SDG)","2015","Total","15 - 24","Percent","Modeled","13.25"
"Australia and New Zealand (SDG)","2015","Total","15+","Percent","Modeled","5.95"
"Australia and New Zealand (SDG)","2015","Total","25+","Percent","Modeled","4.51"
"Australia and New Zealand (SDG)","2014","Female","15 - 24","Percent","Modeled","12.8"
"Australia and New Zealand (SDG)","2014","Female","15+","Percent","Modeled","6.15"
"Australia and New Zealand (SDG)","2014","Female","25+","Percent","Modeled","4.75"
"Australia and New Zealand (SDG)","2014","Male","15 - 24","Percent","Modeled","14"
"Australia and New Zealand (SDG)","2014","Male","15+","Percent","Modeled","5.8"
"Australia and New Zealand (SDG)","2014","Male","25+","Percent","Modeled","4.23"
"Australia and New Zealand (SDG)","2014","Total","15 - 24","Percent","Modeled","13.43"
"Australia and New Zealand (SDG)","2014","Total","15+","Percent","Modeled","5.96"
"Australia and New Zealand (SDG)","2014","Total","25+","Percent","Modeled","4.47"
"Australia and New Zealand (SDG)","2013","Female","15 - 24","Percent","Modeled","11.94"
"Australia and New Zealand (SDG)","2013","Female","15+","Percent","Modeled","5.73"
"Australia and New Zealand (SDG)","2013","Female","25+","Percent","Modeled","4.39"
"Australia and New Zealand (SDG)","2013","Male","15 - 24","Percent","Modeled","13.28"
"Australia and New Zealand (SDG)","2013","Male","15+","Percent","Modeled","5.63"
"Australia and New Zealand (SDG)","2013","Male","25+","Percent","Modeled","4.14"
"Australia and New Zealand (SDG)","2013","Total","15 - 24","Percent","Modeled","12.64"
"Australia and New Zealand (SDG)","2013","Total","15+","Percent","Modeled","5.67"
"Australia and New Zealand (SDG)","2013","Total","25+","Percent","Modeled","4.25"
"Australia and New Zealand (SDG)","2012","Female","15 - 24","Percent","Modeled","11.79"
"Australia and New Zealand (SDG)","2012","Female","15+","Percent","Modeled","5.55"
"Australia and New Zealand (SDG)","2012","Female","25+","Percent","Modeled","4.17"
"Australia and New Zealand (SDG)","2012","Male","15 - 24","Percent","Modeled","13.09"
"Australia and New Zealand (SDG)","2012","Male","15+","Percent","Modeled","5.3"
"Australia and New Zealand (SDG)","2012","Male","25+","Percent","Modeled","3.75"
"Australia and New Zealand (SDG)","2012","Total","15 - 24","Percent","Modeled","12.47"
"Australia and New Zealand (SDG)","2012","Total","15+","Percent","Modeled","5.42"
"Australia and New Zealand (SDG)","2012","Total","25+","Percent","Modeled","3.94"
"Australia and New Zealand (SDG)","2011","Female","15 - 24","Percent","Modeled","11.37"
"Australia and New Zealand (SDG)","2011","Female","15+","Percent","Modeled","5.44"
"Australia and New Zealand (SDG)","2011","Female","25+","Percent","Modeled","4.1"
"Australia and New Zealand (SDG)","2011","Male","15 - 24","Percent","Modeled","12.67"
"Australia and New Zealand (SDG)","2011","Male","15+","Percent","Modeled","5.05"
"Australia and New Zealand (SDG)","2011","Male","25+","Percent","Modeled","3.5"
"Australia and New Zealand (SDG)","2011","Total","15 - 24","Percent","Modeled","12.05"
"Australia and New Zealand (SDG)","2011","Total","15+","Percent","Modeled","5.23"
"Australia and New Zealand (SDG)","2011","Total","25+","Percent","Modeled","3.77"
"Australia and New Zealand (SDG)","2010","Female","15 - 24","Percent","Modeled","11.94"
"Australia and New Zealand (SDG)","2010","Female","15+","Percent","Modeled","5.54"
"Australia and New Zealand (SDG)","2010","Female","25+","Percent","Modeled","4.08"
"Australia and New Zealand (SDG)","2010","Male","15 - 24","Percent","Modeled","12.54"
"Australia and New Zealand (SDG)","2010","Male","15+","Percent","Modeled","5.22"
"Australia and New Zealand (SDG)","2010","Male","25+","Percent","Modeled","3.7"
"Australia and New Zealand (SDG)","2010","Total","15 - 24","Percent","Modeled","12.26"
"Australia and New Zealand (SDG)","2010","Total","15+","Percent","Modeled","5.37"
"Australia and New Zealand (SDG)","2010","Total","25+","Percent","Modeled","3.87"
"Australia and New Zealand (SDG)","2009","Female","15 - 24","Percent","Modeled","11.22"
"Australia and New Zealand (SDG)","2009","Female","15+","Percent","Modeled","5.46"
"Australia and New Zealand (SDG)","2009","Female","25+","Percent","Modeled","4.11"
"Australia and New Zealand (SDG)","2009","Male","15 - 24","Percent","Modeled","12.9"
"Australia and New Zealand (SDG)","2009","Male","15+","Percent","Modeled","5.73"
"Australia and New Zealand (SDG)","2009","Male","25+","Percent","Modeled","4.19"
"Australia and New Zealand (SDG)","2009","Total","15 - 24","Percent","Modeled","12.11"
"Australia and New Zealand (SDG)","2009","Total","15+","Percent","Modeled","5.6"
"Australia and New Zealand (SDG)","2009","Total","25+","Percent","Modeled","4.15"
"Australia and New Zealand (SDG)","2008","Female","15 - 24","Percent","Modeled","8.88"
"Australia and New Zealand (SDG)","2008","Female","15+","Percent","Modeled","4.48"
"Australia and New Zealand (SDG)","2008","Female","25+","Percent","Modeled","3.41"
"Australia and New Zealand (SDG)","2008","Male","15 - 24","Percent","Modeled","9.35"
"Australia and New Zealand (SDG)","2008","Male","15+","Percent","Modeled","3.96"
"Australia and New Zealand (SDG)","2008","Male","25+","Percent","Modeled","2.78"
"Australia and New Zealand (SDG)","2008","Total","15 - 24","Percent","Modeled","9.13"
"Australia and New Zealand (SDG)","2008","Total","15+","Percent","Modeled","4.2"
"Australia and New Zealand (SDG)","2008","Total","25+","Percent","Modeled","3.06"
"Australia and New Zealand (SDG)","2007","Female","15 - 24","Percent","Modeled","9.33"
"Australia and New Zealand (SDG)","2007","Female","15+","Percent","Modeled","4.62"
"Australia and New Zealand (SDG)","2007","Female","25+","Percent","Modeled","3.45"
